nii_6584_ew,halpha_ew,oiii_5007_ew,hbeta_ew,nii_halpha_ew,oiii_hbeta_ew
1.1105733,1.3953122,0.17200989,0.65600395,-0.2847389,-0.48399406
0.32636297,0.8311059,0.15972604,0.25323403,-0.5047429299999999,-0.09350798999999999
0.6299677,1.0455681,0.019792378,0.39540055,-0.41560039999999987,-0.375608172
0.89363635,1.3013301,0.13768251,0.5826657,-0.40769374999999997,-0.44498319
0.76936847,1.2043298,0.12977359,0.51793784,-0.43496133000000003,-0.38816425
0.71410537,1.1232748,0.039607093,0.42504478,-0.40916942999999995,-0.38543768700000003
-0.12971866,-0.08613813,-0.2366647,-0.47634077,-0.04358053000000002,0.23967607000000002
0.66301763,1.0812451,0.05598682,0.3987394,-0.41822747000000005,-0.34275258000000003
0.4276939,0.76234186,-0.10218935,0.105480015,-0.33464796,-0.207669365
0.34394383,0.7973856,0.07707245,0.18973851,-0.45344177,-0.11266606
1.1350088,1.5004017,0.32974267,0.8062076,-0.3653929,-0.47646493
0.46209317,1.0384978,0.36707652,0.432573,-0.5764046300000001,-0.06549647999999997
0.60012436,0.99321103,0.112546094,0.34975472,-0.39308666999999997,-0.23720862600000003
0.7224333,1.0082548,0.1545344,0.3648711,-0.28582150000000006,-0.21033670000000002
0.9468686,1.3732781,0.33619374,0.6777766,-0.4264095000000001,-0.34158285999999993
0.61665905,1.04313,0.04321778,0.38025725,-0.4264709499999999,-0.33703947
0.414245,0.785716,-0.058718324,0.10993379,-0.371471,-0.16865211400000002
0.52063,1.1757945,0.49608457,0.5488906,-0.6551645,-0.052806030000000004
0.7521451,1.1688364,0.24941936,0.49867702,-0.4166913,-0.24925766000000002
0.7574297,1.0408759,0.17385386,0.3996082,-0.2834462000000001,-0.22575434000000003
0.9681652,1.4011605,0.42327327,0.6796626,-0.4329953000000001,-0.25638933
0.69516623,1.1651077,0.16756785,0.507728,-0.4699414700000001,-0.34016015
0.7744788,1.2480457,0.20356847,0.57749313,-0.4735669,-0.37392466
0.6508918,1.209744,0.39297795,0.5754414,-0.5588521999999999,-0.18246344999999997
0.49375737,0.8434389,0.034399137,0.19703227,-0.34968153,-0.162633133
1.1831967,1.8524051,1.1797948,1.1283724,-0.6692083999999998,0.05142240000000009
1.2154423,1.6881754,0.7053624,0.9707648,-0.4727330999999999,-0.26540240000000004
0.8111164,1.0066944,0.15702872,0.36603728,-0.19557800000000003,-0.20900856
0.7349298,0.8330553,0.07263486,0.19821495,-0.09812550000000009,-0.12558009
0.5542816,0.81511164,0.022095546,0.15009344,-0.26083004,-0.127997894
0.72515225,1.2260934,0.34103024,0.5689973,-0.5009411500000001,-0.22796706000000005
0.8493732,1.3490055,0.37958717,0.6927806,-0.49963230000000003,-0.31319343
0.6868862,1.0594795,0.042834386,0.38344842,-0.3725932999999999,-0.340614034
0.9624089,1.3516169,0.12857474,0.62570614,-0.389208,-0.4971314
0.7192607,1.0717788,-0.014308497,0.34327585,-0.35251809999999995,-0.35758434699999997
0.53377783,0.87450254,-0.107038066,0.2304439,-0.34072471000000004,-0.337481966
1.0580888,1.4083899,0.24339709,0.7327435,-0.35030110000000003,-0.48934641
1.195584,1.6523142,0.5276916,0.9222182,-0.4567302,-0.39452659999999995
0.63673973,0.946958,0.109028645,0.29484484,-0.31021827,-0.18581619500000002
-0.17574811,-0.16260707,-0.12122066,-0.6030804,-0.01314104000000002,0.48185974
0.3758837,0.6194333,-0.045944184,-0.028338432,-0.24354959999999998,-0.017605752
0.5592414,0.9170252,0.031172454,0.23847005,-0.3577838,-0.207297596
0.90944684,1.2954141,0.17537671,0.6269697,-0.3859672599999999,-0.45159298999999997
0.8599138,1.2459246,0.12303689,0.5825176,-0.3860108,-0.45948070999999996
1.1191863,1.4427395,0.20439652,0.69226867,-0.3235532000000001,-0.48787215000000006
0.60629946,0.95840675,0.07000178,0.2908221,-0.35210728999999996,-0.22082031999999996
0.82870734,1.3289826,0.30206138,0.65941393,-0.50027526,-0.35735255000000005
0.83432984,1.2821983,0.19320412,0.6115758,-0.4478684599999999,-0.41837168
1.4886707,1.8512348,0.8488266,1.0845461,-0.36256410000000017,-0.23571950000000008
1.2207041,1.5543017,0.354595,0.8271907,-0.3335975999999998,-0.47259569999999995
1.1880049,1.5986472,0.49257952,0.8872649,-0.4106423000000001,-0.39468538000000003
1.055336,1.4191275,0.15017597,0.6797894,-0.36379150000000005,-0.5296134299999999
1.0195053,1.3644791,0.117235266,0.58113915,-0.3449738,-0.46390388400000004
1.0285848,1.4018567,0.1725319,0.6576737,-0.3732719,-0.48514180000000007
1.0963984,1.4884992,0.33580118,0.80122656,-0.3921007999999999,-0.46542538000000006
0.48966724,1.0118408,0.26625103,0.40296185,-0.5221735600000001,-0.13671082
0.7259444,1.2824161,0.5010596,0.63869786,-0.5564717,-0.1376382599999999
0.9934972,1.3236094,0.20368576,0.6590263,-0.3301122000000001,-0.45534053999999996
0.82303023,1.1021702,0.1306217,0.43038017,-0.27913997,-0.29975847
0.8965614,1.1594269,0.2421732,0.5170461,-0.2628655,-0.2748729
0.8525138,1.3111023,0.24104455,0.64689374,-0.45858849999999995,-0.40584918999999997
0.8459021,1.2548356,0.12084305,0.5847424,-0.40893350000000006,-0.46389935
0.83603036,1.1548126,0.16785535,0.49220616,-0.3187822400000001,-0.32435081
0.5280236,1.1308733,0.46409243,0.5221241,-0.6028496999999999,-0.05803166999999998
0.70850694,1.2486297,0.26838526,0.5641747,-0.5401227599999999,-0.29578944
0.42482072,0.9195482,0.22276159,0.35746753,-0.49472748000000005,-0.13470593999999997
0.7616552,1.1717995,0.061241962,0.46596736,-0.41014430000000013,-0.404725398
0.8485872,1.2163597,0.13015394,0.55020255,-0.36777249999999995,-0.42004860999999993
0.63629097,1.040847,-0.00090901554,0.38928795,-0.40455603000000007,-0.39019696554
0.70513934,1.3388005,0.48268056,0.651924,-0.6336611600000001,-0.16924343999999997
0.59567964,1.0415798,0.077217296,0.38580775,-0.4459001600000001,-0.308590454
0.8185734,1.2690511,0.20766771,0.5864503,-0.4504777,-0.37878259
1.1780057,1.5785384,0.24593735,0.8916848,-0.4005327000000001,-0.64574745
1.017691,1.3570534,0.08109788,0.58752894,-0.3393624000000002,-0.50643106
0.8610027,1.2033043,0.06530915,0.46861735,-0.3423016000000001,-0.4033082
0.61808056,0.9847946,-0.04854749,0.33524948,-0.36671403999999996,-0.38379697
0.45322323,0.7487123,-0.109845,0.1098941,-0.29548907,-0.2197391
0.83440864,1.2072613,0.01632981,0.4730364,-0.37285266000000006,-0.45670659
0.60873574,1.0625752,0.10365075,0.39863616,-0.45383946,-0.29498541
0.22274464,0.5354893,-0.079077914,-0.042903364,-0.31274465999999995,-0.03617455
0.20048761,0.61419773,0.027034938,0.07953298,-0.41371011999999996,-0.052498042
-0.19442296,-0.2767732,-0.3037336,-0.6476301,0.08235023999999999,0.3438965
0.17859948,0.48816615,-0.10080816,-0.13043463,-0.30956667000000004,0.029626470000000002
0.54210865,0.94603133,-0.005462572,0.27329868,-0.40392268,-0.278761252
0.32746446,0.67103755,-0.10110845,0.027285635,-0.34357308999999997,-0.128394085
0.5701055,1.0774417,0.27818018,0.43762136,-0.5073362,-0.15944118000000002
0.967172,1.4549851,0.45032024,0.77719134,-0.4878131,-0.3268711
-0.1888516,-0.1136117,-0.18607102,-0.5293628,-0.07523990000000001,0.34329178000000005
0.15231085,0.41760182,-0.13925211,-0.15211844,-0.26529097,0.012866329999999981
